Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
60,17,5,83,9,Some Random Commen with Id 60
61,17,5,108,0,Some Random Commen with Id 61
62,17,5,109,5,Some Random Commen with Id 62
63,17,5,22,0,Some Random Commen with Id 63
64,17,5,96,4,Some Random Commen with Id 64
65,17,5,193,3,Some Random Commen with Id 65
66,18,8,57,9,Some Random Commen with Id 66
67,18,8,163,2,Some Random Commen with Id 67
68,18,8,187,1,Some Random Commen with Id 68
69,18,8,148,0,Some Random Commen with Id 69
70,18,8,165,2,Some Random Commen with Id 70
71,18,8,158,6,Some Random Commen with Id 71
72,19,4,2,4,Some Random Commen with Id 72
73,19,4,85,4,Some Random Commen with Id 73
74,20,9,5,6,Some Random Commen with Id 74
75,20,9,100,2,Some Random Commen with Id 75
76,20,9,63,3,Some Random Commen with Id 76
77,20,9,35,4,Some Random Commen with Id 77
78,21,0,85,4,Some Random Commen with Id 78
79,21,0,179,4,Some Random Commen with Id 79
80,21,0,142,1,Some Random Commen with Id 80
81,21,0,64,5,Some Random Commen with Id 81
82,21,0,6,1,Some Random Commen with Id 82
83,21,0,106,1,Some Random Commen with Id 83
84,22,6,67,5,Some Random Commen with Id 84
85,22,6,14,3,Some Random Commen with Id 85
86,22,6,71,8,Some Random Commen with Id 86
87,22,6,18,7,Some Random Commen with Id 87
88,22,6,48,1,Some Random Commen with Id 88
89,23,3,1,7,Some Random Commen with Id 89
90,23,3,153,9,Some Random Commen with Id 90
91,24,0,174,3,Some Random Commen with Id 91
92,24,0,142,7,Some Random Commen with Id 92
93,24,0,134,5,Some Random Commen with Id 93
94,24,0,64,7,Some Random Commen with Id 94
95,24,0,139,8,Some Random Commen with Id 95
96,25,5,21,0,Some Random Commen with Id 96
97,25,5,159,3,Some Random Commen with Id 97
98,25,5,150,2,Some Random Commen with Id 98
99,25,5,109,5,Some Random Commen with Id 99
100,25,5,35,6,Some Random Commen with Id 100
101,25,5,150,3,Some Random Commen with Id 101
102,25,5,166,7,Some Random Commen with Id 102
103,26,6,48,2,Some Random Commen with Id 103
104,26,6,11,1,Some Random Commen with Id 104
105,26,6,109,2,Some Random Commen with Id 105
106,26,6,48,2,Some Random Commen with Id 106
107,26,6,176,4,Some Random Commen with Id 107
108,26,6,15,7,Some Random Commen with Id 108
109,26,6,21,7,Some Random Commen with Id 109
110,26,6,176,5,Some Random Commen with Id 110
111,27,5,99,7,Some Random Commen with Id 111
112,27,5,12,3,Some Random Commen with Id 112
113,28,4,94,0,Some Random Commen with Id 113
114,28,4,30,9,Some Random Commen with Id 114
115,28,4,176,5,Some Random Commen with Id 115
116,28,4,40,8,Some Random Commen with Id 116
117,29,2,180,6,Some Random Commen with Id 117
118,29,2,28,4,Some Random Commen with Id 118
119,29,2,196,0,Some Random Commen with Id 119
120,29,2,159,8,Some Random Commen with Id 120
121,29,2,80,5,Some Random Commen with Id 121
122,29,2,153,0,Some Random Commen with Id 122
123,29,2,82,1,Some Random Commen with Id 123
124,29,2,36,9,Some Random Commen with Id 124
125,30,1,37,5,Some Random Commen with Id 125
126,31,4,2,6,Some Random Commen with Id 126
127,31,4,1,4,Some Random Commen with Id 127
128,31,4,23,1,Some Random Commen with Id 128
129,31,4,197,1,Some Random Commen with Id 129
130,32,3,67,0,Some Random Commen with Id 130
131,32,3,15,3,Some Random Commen with Id 131
132,32,3,110,5,Some Random Commen with Id 132
133,32,3,191,1,Some Random Commen with Id 133
134,32,3,151,3,Some Random Commen with Id 134
135,32,3,122,1,Some Random Commen with Id 135
136,33,1,85,4,Some Random Commen with Id 136
137,33,1,34,8,Some Random Commen with Id 137
138,33,1,124,4,Some Random Commen with Id 138
139,33,1,48,8,Some Random Commen with Id 139
140,34,2,142,9,Some Random Commen with Id 140
141,34,2,165,1,Some Random Commen with Id 141
142,34,2,171,9,Some Random Commen with Id 142
143,34,2,175,9,Some Random Commen with Id 143
144,34,2,11,7,Some Random Commen with Id 144
145,35,0,194,6,Some Random Commen with Id 145
146,36,5,2,7,Some Random Commen with Id 146
147,36,5,126,3,Some Random Commen with Id 147
148,37,3,53,8,Some Random Commen with Id 148
149,37,3,164,8,Some Random Commen with Id 149
150,37,3,7,8,Some Random Commen with Id 150
151,37,3,199,2,Some Random Commen with Id 151
152,37,3,38,3,Some Random Commen with Id 152
153,37,3,151,1,Some Random Commen with Id 153
154,37,3,134,3,Some Random Commen with Id 154
155,38,2,175,5,Some Random Commen with Id 155
156,38,2,113,9,Some Random Commen with Id 156
157,38,2,141,2,Some Random Commen with Id 157
158,38,2,148,6,Some Random Commen with Id 158
159,38,2,147,0,Some Random Commen with Id 159
160,39,6,183,1,Some Random Commen with Id 160
161,39,6,74,1,Some Random Commen with Id 161
162,39,6,94,3,Some Random Commen with Id 162
